No,Category,Seller ~ Barang,Terjual,Price,Omzet
1,fashion-aksesoris,cozyshop~tambahan-packing-bubble,6200,1000,6200000
2,fashion-aksesoris,wegotstyleid~hairclip-big-layer-60cm-1-layerfullhead,7700,50000,385000000
3,fashion-aksesoris,cozyshop~tambahan-packing-dus,3000,1000,3000000
4,fashion-aksesoris,tokoparadis~catok-rambut-2in1-merek-nova,4200,70000,294000000
5,fashion-aksesoris,outletgroup~plastic-watch-box-with-pillow-kotak-jam-tangan-plastik-dengan-bantal,2700,7000,18900000
6,fashion-aksesoris,rejekishop~sisir-ion-vrambut-keriting-jadi-lurus,6300,6500,40950000
7,fashion-aksesoris,outletgroup~braid-leather-watch-jam-tangan-kulit-kepang-lilit-vintage-tribal-indian,3200,35000,112000000
8,fashion-aksesoris,wegotstyleid~hairclip-big-layer-60cm-1-layerfullhead-hair-clip-korea,2800,50000,140000000
9,fashion-aksesoris,luckysixshoes~wedges-belang-q01,1700,44000,74800000
10,fashion-aksesoris,piano~jam-iron-samurai-tokyo-flash-led-watch,2300,54999,126497700
11,fashion-aksesoris,razendrasheva~jam-tangan-since-21-tali-1,2100,85000,178500000
12,fashion-aksesoris,jakartakosmetik~hot-huez-temporary-hair-chalk,2400,18000,43200000
13,fashion-aksesoris,gudanghairclip~hairclip-biglayer-hair-clip,2200,50000,110000000
14,fashion-aksesoris,jakartakosmetik~sisir-v,2000,8500,17000000
15,fashion-aksesoris,dlyla-shop~blc-hairclip-curly-lurus,1900,55000,104500000
16,fashion-aksesoris,rejekishop~penahan-poni-hair-velcro,7100,600,4260000
17,fashion-aksesoris,yokeshop~jam-tangan-since-21-tali,1600,88000,140800000
18,fashion-aksesoris,putrastore~upgrade-kotak-kancing,1300,8000,10400000
19,fashion-aksesoris,razendrasheva~since-2-jam-21-tali-21-ring,1200,98000,117600000
20,fashion-aksesoris,egadgetshop~led-watch-tokyoflash-replika-kw-mini-iron-samurai,1700,52500,89250000
21,fashion-aksesoris,wegotstyleid~hairclip-big-layer-40-cm,876,50000,43800000
22,fashion-aksesoris,luckysixshoes~wedges-kicker,886,41000,36326000
23,fashion-aksesoris,yunyun~cukuran-rambut-jinghao,966,50000,48300000
24,fashion-aksesoris,outletgroup~grand-touring-sport-men-watch-jam-tangan-olah-raga-pria-gt02,731,70000,51170000
25,fashion-aksesoris,star-elektro~jam-tangan-tribal-vintage-indian,3700,25000,92500000
26,fashion-aksesoris,outletgroup~led-watch-iron-samurai-tokyoflash-replica-blue,1500,50000,75000000
27,fashion-aksesoris,luckysixshoes~wedges-motif-bunga-kode-on-01,693,44000,30492000
28,fashion-aksesoris,grosirecer~jual-ac-genggam-portable-handy-cooler-grosir-ecer-reseller-dropship-termurah-supplier-barang-unik-cina,1200,46500,55800000
29,fashion-aksesoris,yunyun~catokan-nova-2-in-1,746,70000,52220000
30,fashion-aksesoris,shineshop~sisir-ion-hair-straightener-v-murah-khusus-drop-ship,1000,8500,8500000
1,pakaian,rejekishop~natural-bamboo-originalfragnair-didada,5100,60000,306000000
2,pakaian,jaco-shop~eve-magic-bra,2600,75000,195000000
3,pakaian,zentrostyle~jaket-motor-ariel,3500,109000,381500000
4,pakaian,jaco-shop~eve-magic-bra-warna-cream-khusus-warna-cream,1700,72500,123250000
5,pakaian,marieshop~sale-natural-bambo-pakaian-pelangsing-muuraahhada-fraigner-di-dada,1600,45000,72000000
6,pakaian,rayshop~bra-double-strap-seamless-invisible-bra-bra-kawat-tali-transparan,1800,68900,124020000
7,pakaian,tokoimtiyaz~natural-bamboo-slimming-suit-1,1300,45000,58500000
8,pakaian,rayshop~free-bra-original-nute-kulit,1700,34000,57800000
9,pakaian,bellezzeshop~magic-eve-bra-purple-beige-cek-ukuran-sebelum-order-ya,1300,75000,97500000
10,pakaian,rejekishop~celana-dalam-anti-bocor-khusus-menstruasi-menstrual-penties-cd-mens,6600,8000,52800000
11,pakaian,rejekishop~jewerly-bag,2000,13000,26000000
12,pakaian,rejekishop~magic-eve-bra-push-bra-pink,1200,68000,81600000
13,pakaian,bellezzeshop~natural-bambo-original,1000,46000,46000000
14,pakaian,rejekishop~slimming-night-legging,1500,33000,49500000
15,pakaian,shineshop~natural-bamboo-slimming-underwear-fangnaier,1100,44000,48400000
16,pakaian,wallrosmartcloth~jaket-kulit-ariel-jaket-kulit-ariel-noah-jaket-kulit-eksklusif,792,100000,79200000
17,pakaian,shineshop~natural-bamboo-kaleng,1100,46000,50600000
18,pakaian,supergrosiran~free-bra-invisible-bra-silicon-bra,904,45000,40680000
19,pakaian,afgrosir~blazer-ggs-pria,808,54000,43632000
20,pakaian,bestshopgrosir~vakoou-va-koou-va-kou-vakou-celana-dalam-pria-america-man-underware-kesehatan-lelaki-boxer,1300,32000,41600000
